product_name,price,discount,review_rating,review_amount,brand
Toallas Húmedas Sprainer,71.950,0,5.0,7,Sprainer
Cepillo Limpieza Facial Pulpo - Kg a $5000,5.000,0,5.0,1,My Beauty Tool
Masajeador Facial 12 En 1 Exfolia - Unidad a $32100,32.100,0,4.8,23,Cnaier
Teen Derm Gel Sensitive - Isis Pharma 250 Ml,102.900,30,5.0,6,Isispharma
"Máscara De Colágeno Rosemine, Máscara Nocturna De Colágeno",73.153,13,5.0,1,Rose Mine
. Medicube Mascarilla Collagen Night Mask Wrapping Peel Of,57.531,13,4.7,3,Generic
Nivea Leche Y Tónico Micelar Agua De Rosas Piel Seca 200 Ml,43.100,0,5.0,5,Nivea
Cepillo Limpieza Facial Corpora,14.900,0,0,0,Impor González
Kit Masajeador Facial Lim 12 Pz,33.900,0,3.4,18,Genérica
Sebionex Foaming Gel - Acm,96.000,25,4.8,10,ACM
Agua De Rosas Por Litro X1000ml - L a $9900,9.900,0,4.9,8,Athos
Pulpo Y Cepillo Limpieza Facial,35.000,0,0,0,Rubyface
Cinturilla Faja Ciatica Lumbar Soporte Maternidad Pelvico,52.136,42,4.0,5,Genérica
Limpiador Facial Espinillas Puntos Negros Recargable Mny-582,27.700,0,2.7,3,Genérica
Vapor Ozono 2 Brazos Y Lámpara ,503.600,0,3.7,3,Brand not found
Agua Micelar Eucerin Dermopure - mL a $425,85.000,0,5.0,1,Eucerin
Precio Especial Pañuelo Familia Triple Hoja X 2 Cubos X 60un,11.250,0,5.0,2,Familia
Cepillo Masajeador 2 En 1 + Diadema Set Limpieza Mo0374,23.900,0,0,0,Genérica
Almohadilla Desmaquillante X100 - Kg a $1,9.800,0,5.0,3,Genérica
Vapor Ozono Pedestal Facial Sau,439.900,0,4.6,20,pedestal
Spa Facial Mini Masajeador Electrico Para La Cara 5 En 1,25.077,0,4.1,38,Brand not found
Gel Removedor De Puntos Negros Antisef 150 Gr,15.800,61,4.3,7,Brand not found
Limpiador Facial Rodillo - Kg a $20340,20.340,10,0,0,JDAG
Parche Desintoxicantes 10und - Unidad a $7000,7.000,0,5.0,1,Tor Technology
Toalla Desmaquillante Lavable - g,14.500,0,4.7,3,Abrigados
Repuesto Agua Micelar Chronos Natura,22.542,22,0,0,Natura
"Limpiador Facial, Mini Spa Eléctrico 5 En 1",11.000,0,4.6,20,Brand not found
Cepillo Exfoliante Facial,22.000,0,4.1,9,GypsyMarket Co
Repuesto Agua Micelar Chronos Natura,22.542,22,0,0,Natura
Vaporizador Facial Y De Ropa De Mano 4 En 1 Electrico Portat,46.123,23,4.8,11,Facial Steamer
Sauna Vaporizador Facial Profesional A506 Rejuvenecedor,69.900,0,4.7,16,Benice
Vapor Ozono Profesional Calor ,385.350,0,5.0,2,Genérica
Masajeador Facial Eléctrico Inalámbrico 12 En 1 Exfoliante ,34.900,0,4.7,3,CNAIR
"Cepillo De Limpieza Facial Para Cuidado Facial, Maquillaje Y",54.832,0,0,0,Generic
True You Jabón Líquido Facial True You Piel Grasa 150ml,34.900,0,0,0,True You
"12 Máscara De Colágeno Biodance,máscara Nocturna De Colágeno",123.696,0,5.0,1,Génerico
Agua Micelar Limpiadora Burt's Bees Coco Y Loto,59.900,33,0,0,Burt's Bees
Masajeador Limpieza Facial Gatico - Unidad a $9800,9.800,0,0,0,Trendy
Limpiador Masajedor  Facial Mini - Unidad a $14900,14.900,0,4.3,3,Brand not found
Vapor Facial Ozono Portatil,210.000,0,5.0,2,Steam
Rodillo Antigrasa Volcanico Pie,13.900,0,4.3,3,Lechapu
Vaporizador Facial Sauna Limpie,39.900,0,4.5,17,Osenjie
Cepillo De Limpieza Facial Foreo Luna 3 Sensitive Skin,1.690.533,0,0,0,Foreo
Extractor Limpiador Facial Puntos Negros Digital Recargable,65.100,0,0,0,GN
Parche Desintoxicantes 30und - ,13.900,0,5.0,3,Kinoki
3×gotas Paraojos Que Ayudan A Aliviar Los Síntomas Del B,77.490,0,0,0,Generic
Pomos Desmaquillantes En Algodón Almohadil - g a $6,15.900,0,4.0,1,PELUSAS
Mini Cepillo El Limpieza Facial - Kg a $399,49.900,0,0,0,Brand not found
Cepillo Limpieza Facial 3 En 1 Color Blanco,26.600,0,0,0,Cepillo Facial
Parche Hidratante Para Ojos  De Arroz ,13.350,0,4.5,2,Genérica
Parche Desintoxicantes 60und - - Unidad a $1233,64.900,0,4.7,3,Kinoki
Pañuelos Familia Triple Hoja Caja Pequeña Pague 2 Lleve 3,11.700,0,0,0,Familia
Pulpo Exfoliante Limpiador - Un,8.000,0,0,0,Etude House
Parche Para Dejar De Fumar Con 60 Extractos De Plantas Fs7,99.131,19,0,0,Sefudun
Cepillo Ducha Baño Bebe  X 2 Unidades ,14.441,15,4.0,6,10Milazo
Limpiador Facial Rodillo - Unidad a $21244,19.888,12,0,0,JDAG
Leche Limpiadora 250ml - mL a $80,19.900,0,4.0,1,Agrado
Kit Limpieza Facial Foreo Exfolian - Unidad a $9738,77.900,0,2.8,6,Essntial In
Desmaquillador Bifasico Facial - mL a $178,8.900,0,3.4,8,Romantic Beauty
Set De Limpieza Facial De Cala,84.000,0,0,0,Cala
